group,count,avg_ai_score,avg_margin_abs,avg_metadata_score,avg_forensic_score,avg_frequency_score,avg_metadata_contribution,avg_forensic_contribution,avg_frequency_contribution,avg_high_frequency_energy_ratio,avg_edge_density,avg_laplacian_variance,avg_noise_estimate,avg_brightness_std,exif_ratio,jpeg_count,png_count,webp_count
all,60,0.171719,0.033766,0.040000,0.027000,0.406417,0.007500,0.011813,0.152406,0.406417,0.080221,922.799299,5.695689,58.304826,0.200000,30,30,0
ground_truth_ai,30,0.167572,0.025511,0.050000,0.000000,0.421858,0.009375,0.000000,0.158197,0.421858,0.078057,683.905740,5.800667,58.671839,0.000000,0,30,0
ground_truth_real,30,0.175866,0.042021,0.030000,0.054000,0.390975,0.005625,0.023625,0.146616,0.390975,0.082385,1161.692857,5.590711,57.937813,0.400000,30,0,0
balanced_correct,33,0.162240,0.026926,0.039394,0.004848,0.407285,0.007386,0.002121,0.152732,0.407285,0.083078,655.869571,5.589567,57.602999,0.212121,12,21,0
balanced_false_positive,18,0.206572,0.056572,0.036111,0.081111,0.438174,0.006771,0.035486,0.164315,0.438174,0.099980,1781.395673,7.281727,58.503624,0.277778,18,0,0
balanced_false_negative,9,0.136769,0.013231,0.050000,0.000000,0.339717,0.009375,0.000000,0.127394,0.339717,0.030229,184.348887,2.912728,60.480596,0.000000,0,9,0
