image_path,true_label,predicted_label_at_best_threshold,ai_score,error_type,distance_to_threshold,explanation_if_available
data\test_images\ai\ai_010.png,ai,real,0.1470,false_negative_ai_as_real,0.0030,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_005.png,ai,real,0.1443,false_negative_ai_as_real,0.0057,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=48.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_006.jpg,real,ai,0.1671,false_positive_real_as_ai,0.0171,"No EXIF metadata was found, which is common for generated or heavily processed images. | Color entropy is high, suggesting a broad natural-looking color distribution. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=52.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_002.jpg,real,ai,0.1961,false_positive_real_as_ai,0.0461,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=36.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\web_real_001.jpg,real,ai,0.2024,false_positive_real_as_ai,0.0524,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=36.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_001.jpg,real,ai,0.2087,false_positive_real_as_ai,0.0587,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | risk_score=40.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_004.jpg,real,ai,0.2196,false_positive_real_as_ai,0.0696,"No EXIF metadata was found, which is common for generated or heavily processed images. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=56.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_005.jpg,real,ai,0.2209,false_positive_real_as_ai,0.0709,"Color entropy is high, suggesting a broad natural-looking color distribution. | risk_score=46.0; day5_prediction=uncertain; day5_confidence=low"
